time,jet_speed
1940-01-01,17.714893341064453
1940-01-02,13.368473052978516
1940-01-03,12.828706741333008
1940-01-04,12.961479187011719
1940-01-05,9.87321662902832
1940-01-06,13.660835266113281
1940-01-07,12.883089065551758
1940-01-08,13.434709548950195
1940-01-09,13.890748023986816
1940-01-10,13.316329002380371
1940-01-11,11.131917953491211
1940-01-12,14.710131645202637
1940-01-13,15.225744247436523
1940-01-14,15.36771297454834
1940-01-15,13.978986740112305
1940-01-16,13.47402286529541
1940-01-17,16.289813995361328
1940-01-18,16.551326751708984
1940-01-19,17.54587745666504
1940-01-20,15.973060607910156
1940-01-21,16.856918334960938
1940-01-22,16.673473358154297
1940-01-23,17.77941131591797
1940-01-24,18.79676628112793
1940-01-25,20.8751220703125
1940-01-26,24.195831298828125
1940-01-27,21.05759048461914
1940-01-28,19.32283592224121
1940-01-29,20.10700035095215
1940-01-30,20.927339553833008
1940-01-31,20.163610458374023
1940-02-01,18.605064392089844
1940-02-02,19.23957633972168
1940-02-03,19.13199806213379
1940-02-04,18.740222930908203
1940-02-05,16.80515480041504
1940-02-06,17.854623794555664
1940-02-07,16.31528091430664
1940-02-08,15.022412300109863
1940-02-09,13.599095344543457
1940-02-10,14.05655288696289
1940-02-11,14.570954322814941
1940-02-12,13.979462623596191
1940-02-13,12.867106437683105
1940-02-14,17.968629837036133
1940-02-15,15.522384643554688
1940-02-16,13.737720489501953
1940-02-17,15.203693389892578
1940-02-18,12.734009742736816
1940-02-19,7.0433149337768555
1940-02-20,12.031026840209961
1940-02-21,12.21873950958252
1940-02-22,13.843246459960938
1940-02-23,15.422167778015137
1940-02-24,14.105243682861328
1940-02-25,16.077831268310547
1940-02-26,17.574193954467773
1940-02-27,17.329898834228516
1940-02-28,18.1023006439209
1940-02-29,19.886686325073242
1940-03-01,16.5616455078125
1940-03-02,16.159942626953125
1940-03-03,14.781402587890625
1940-03-04,13.64538860321045
1940-03-05,11.537103652954102
1940-03-06,9.332971572875977
1940-03-07,10.446565628051758
1940-03-08,12.22835636138916
1940-03-09,3.957244873046875
1940-03-10,1.106338381767273
1940-03-11,9.439262390136719
1940-03-12,8.809038162231445
1940-03-13,8.002129554748535
1940-03-14,7.700750827789307
1940-03-15,10.34121036529541
1940-03-16,8.981931686401367
1940-03-17,11.62610149383545
1940-03-18,8.893684387207031
1940-03-19,8.672260284423828
1940-03-20,5.883664608001709
1940-03-21,10.982041358947754
1940-03-22,13.185408592224121
1940-03-23,17.180688858032227
1940-03-24,17.363922119140625
1940-03-25,17.854440689086914
1940-03-26,18.31123924255371
1940-03-27,17.386930465698242
1940-03-28,15.755213737487793
1940-03-29,15.519124031066895
1940-03-30,14.267004013061523
1940-03-31,13.795909881591797
1940-04-01,13.477768898010254
1940-04-02,15.103228569030762
1940-04-03,12.495176315307617
1940-04-04,16.203691482543945
1940-04-05,16.245210647583008
1940-04-06,15.131123542785645
1940-04-07,18.87112808227539
1940-04-08,17.073944091796875
1940-04-09,14.736130714416504
1940-04-10,12.826788902282715
1940-04-11,12.044633865356445
1940-04-12,11.766524314880371
1940-04-13,10.269908905029297
1940-04-14,10.308549880981445
1940-04-15,12.007132530212402
1940-04-16,13.198546409606934
1940-04-17,12.538451194763184
1940-04-18,15.192410469055176
1940-04-19,13.260834693908691
1940-04-20,14.692717552185059
1940-04-21,11.749711990356445
1940-04-22,10.57038402557373
1940-04-23,10.645055770874023
1940-04-24,12.212849617004395
1940-04-25,11.872133255004883
1940-04-26,9.738909721374512
1940-04-27,11.726639747619629
1940-04-28,10.993326187133789
1940-04-29,11.235712051391602
1940-04-30,10.460004806518555
1940-05-01,9.967283248901367
1940-05-02,8.537753105163574
1940-05-03,10.087039947509766
1940-05-04,10.593421936035156
1940-05-05,7.729130744934082
1940-05-06,9.488845825195312
1940-05-07,13.841585159301758
1940-05-08,9.403108596801758
1940-05-09,4.950693130493164
1940-05-10,9.714820861816406
1940-05-11,9.621540069580078
1940-05-12,10.224321365356445
1940-05-13,7.878208637237549
1940-05-14,10.064178466796875
1940-05-15,6.229419231414795
1940-05-16,5.043772220611572
1940-05-17,4.795089244842529
1940-05-18,5.187042236328125
1940-05-19,8.546250343322754
1940-05-20,9.241096496582031
1940-05-21,10.298360824584961
1940-05-22,7.69075345993042
1940-05-23,9.445381164550781
1940-05-24,10.133095741271973
1940-05-25,6.657497882843018
1940-05-26,4.197051048278809
1940-05-27,10.615989685058594
1940-05-28,11.990534782409668
1940-05-29,7.735070705413818
1940-05-30,12.206117630004883
1940-05-31,12.776213645935059
1940-06-01,11.257083892822266
1940-06-02,10.019182205200195
1940-06-03,7.870234966278076
1940-06-04,11.158003807067871
1940-06-05,11.483230590820312
1940-06-06,10.050058364868164
1940-06-07,10.093521118164062
1940-06-08,9.166563987731934
1940-06-09,8.382499694824219
1940-06-10,7.835348129272461
1940-06-11,9.425028800964355
1940-06-12,11.117802619934082
1940-06-13,9.646308898925781
1940-06-14,8.239053726196289
1940-06-15,5.399255275726318
1940-06-16,5.5518388748168945
1940-06-17,6.4233174324035645
1940-06-18,8.139920234680176
1940-06-19,9.782825469970703
1940-06-20,8.618383407592773
1940-06-21,8.938575744628906
1940-06-22,8.475621223449707
1940-06-23,8.418625831604004
1940-06-24,6.180701732635498
1940-06-25,7.177646160125732
1940-06-26,7.351740837097168
1940-06-27,5.411076068878174
1940-06-28,5.060394763946533
1940-06-29,6.710943222045898
1940-06-30,7.343695163726807
1940-07-01,8.832477569580078
1940-07-02,10.23013973236084
1940-07-03,9.482271194458008
